,marca,nombre,version,link_contacto,nombre_contacto,ubicacion,segmento,ano,combustible,kilometraje,precio,permuta_por_menor,permuta_por_mayor,ultima_actualizacion,provincia,visitas,equipamiento,comentarios_vendedor,day,Volante regulable,Faros regulables desde el interior,Sistema de frenado automático,Caja automática,Butacas calefaccionadas,GPS,Espejo central antideslumbrante,Frenos ABS,No Especificado,Butacas de cuero,Motor Turbo,Anclaje de asientos infantiles (Isofix),Dirección asistida,Comandos en el volante / satelital,Sensor de luz,Llantas de Aleación,Computadora de abordo,Frenos de disco en las cuatro ruedas,Control de estabilidad (ESP),Airbags,Sensor de estacionamiento,Volante de cuero,Sensor de lluvia,Entrada USB / Auxiliar,Espejos exteriores retractiles eléctricos,Sistema de alerta de ángulo muerto,Faros direccionales,Rueda de auxilio de igual medida,Espejos eléctricos,Traba para niños,Reproduce CD / DVD,Aire acondicionado,Alarma,Control de velocidad crucero,Cierre centralizado,Camara de estacionamiento trasera,Sistema de sonido de alto rendimiento,Techo panoramico o corredizo,Vidrios eléctricos,Asistente de arranque en pendientes,Doble tracción / 4x4,Control de tracción,Butacas eléctricas,Cierre de puertas y encendido sin llave,Control de presion de neumáticos,Climatizador automático,Limpia/lava faros,Bluetooth,Faros antiniebla,Faros de Xenon,Estacionamiento automático
0,Chevrolet,Chevrolet Agile, LS 1.4 5ptas Spirit,,Gold Cars Automotores,"San Juan, Capital",Autos Usados,2013,Nafta,62000 Km,$ 1.500.000,SI,SI,Hoy,San Juan,0,"Aire acondicionado, Dirección asistida, Cierre centralizado, Volante regulable, Computadora de abordo, Control de velocidad crucero, Alarma, Frenos ABS, Reproduce CD / DVD, Entrada USB / Auxiliar, Bluetooth",Excelente Estado!,2022-06-11,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,Chevrolet,Chevrolet Onix, LT 1.4 98cv (L17),,Cristian Acevedo Autos,"Mendoza, Godoy Cruz",Autos Usados,2017,Nafta,38000 Km,$ 2.700.000,SI,NO,Hoy,Mendoza,15,"Aire acondicionado, Dirección asistida, Cierre centralizado, Cierre de puertas y encendido sin llave, Vidrios eléctricos, Volante regulable, Volante de cuero, Computadora de abordo, Control de velocidad crucero, Espejos eléctricos, Faros antiniebla, Sensor de estacionamiento, Camara de estacionamiento trasera, Alarma, Frenos ABS, Airbags, Traba para niños, Entrada USB / Auxiliar, Bluetooth, Comandos en el volante / satelital",Único dueño.linea nueva.Permuto menor financio.,2022-06-11,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
2,Chevrolet,Chevrolet Onix, JOY+ 1.4 LS 98cv (L17),,AyA Autos,"Mendoza, Rivadavia",Autos Usados,2017,Nafta,82000 Km,$ 2.400.000,SI,NO,Hoy,Mendoza,4,"Aire acondicionado, Dirección asistida, Vidrios eléctricos, Alarma, Frenos ABS, Airbags, Entrada USB / Auxiliar","Somos AyA Autos, una empresa dedicada a satisfacer las necesidades de movilidad. Contamos con amplio stock de vehículos usados multimarca.Además tenemos las mejores financiaciones del mercado y tomamos tu vehículo al mejor precio.",2022-06-11,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,Chevrolet,Chevrolet Agile, LT 1.4 Spirit,http://www.santaanaautos.com.ar/,SANTA ANA Autos ,"Mendoza, Guaymallén",Autos Usados,2013,Nafta,100000 Km,$ 1.580.000,SI,SI,Hoy,Mendoza,11,"Aire acondicionado, Dirección asistida, Cierre centralizado, Vidrios eléctricos, Volante regulable, Computadora de abordo, Control de velocidad crucero, Alarma, Frenos ABS, Airbags, Reproduce CD / DVD, Entrada USB / Auxiliar, Bluetooth","Impecable estado, 4 cubiertas nuevas, auxilio sin rodar, Mendocino listo para transferirRto vigente Financiamos y permutamosRecibimos tarjetas",2022-06-11,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4,Chevrolet,Chevrolet Tracker, LTZ 1.8 AT 4x4,,Raúl,"Mendoza, Godoy Cruz",Autos Usados,2015,Nafta,68000 Km,$ 3.550.000,SI,NO,Ayer,Mendoza,84,"Aire acondicionado, Climatizador automático, Dirección asistida, Cierre centralizado, Cierre de puertas y encendido sin llave, Vidrios eléctricos, Volante regulable, Volante de cuero, Computadora de abordo, Control de velocidad crucero, Espejos eléctricos, Faros antiniebla, Faros regulables desde el interior, Caja automática, Doble tracción / 4x4, Sensor de lluvia, Sensor de luz, Llantas de Aleación, Alarma, Frenos ABS, Frenos de disco en las cuatro ruedas, Control de tracción, Control de estabilidad (ESP), Rueda de auxilio de igual medida, Reproduce CD / DVD, Entrada USB / Auxiliar, Bluetooth, Comandos en el volante / satelital","impecable estado general ,caja automatica , tracion integral , mecanica a toda prueba .",2022-06-11,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0
5,Chevrolet,Chevrolet Onix, LTZ 1.4 98cv,,Juan,"Mendoza, Luján De Cuyo",Autos Usados,2014,Nafta,90000 Km,$ 2.280.000,SI,SI,Hace 6 días,Mendoza,93,"Aire acondicionado, Dirección asistida, Cierre centralizado, Vidrios eléctricos, Volante regulable, Computadora de abordo, Espejos eléctricos, Faros antiniebla, Alarma, Frenos ABS, Airbags, Reproduce CD / DVD, Entrada USB / Auxiliar, Bluetooth","Excelente estado, full full, aire, dirección, cierre, alarma, levantavidrios, airbag, distribución realizada a los 60.000 km, cubiertas a un 80% recibiría menor, mayor, diferencia a convenir. Escucho oferta de contado",2022-06-11,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
6,Chevrolet,Chevrolet Cruze, LTZ 1.8 4ptas 141cv,,Fernando,"Mendoza, Godoy Cruz",Autos Usados,2013,GNC,130000 Km,$ 2.390.000,SI,NO,Hoy,Mendoza,49,"Aire acondicionado, Climatizador automático, Dirección asistida, Cierre centralizado, Cierre de puertas y encendido sin llave, Vidrios eléctricos, Butacas de cuero, Volante regulable, Volante de cuero, Computadora de abordo, Control de velocidad crucero, Espejos eléctricos, Espejos exteriores retractiles eléctricos, Espejo central antideslumbrante, Faros antiniebla, Faros regulables desde el interior, Techo panoramico o corredizo, Sensor de estacionamiento, Sensor de lluvia, Sensor de luz, Alarma, Frenos ABS, Frenos de disco en las cuatro ruedas, Airbags, Control de tracción, Control de estabilidad (ESP), Traba para niños, Anclaje de asientos infantiles (Isofix), Reproduce CD / DVD, Entrada USB / Auxiliar, Bluetooth, Comandos en el volante / satelital","Excelente estado, GNC grande. Recibo menor (auto), financio solo con DNI.",2022-06-11,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0
7,Chevrolet,Chevrolet Tracker, LT 1.8 4x2,,Ana,"Mendoza, Capital",Autos Usados,2016,Nafta,55000 Km,$ 3.400.000,NO,NO,Ayer,Mendoza,3,No Especificado,Única mano. Dueño,2022-06-11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Chevrolet,Chevrolet Prisma, LS 1.4 MT JOY 98cv (L17),,Paulo,"Mendoza, Capital",Autos Usados,2017,Nafta,44000 Km,$ 2.600.000,SI,SI,Hoy,Mendoza,18,"Aire acondicionado, Dirección asistida, Volante regulable, Espejo central antideslumbrante, Frenos ABS, Airbags, Entrada USB / Auxiliar, Bluetooth",Dueño vende. Impecable estado. Sin uso. Permuto,2022-06-11,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,Chevrolet,Chevrolet Tracker, LTZ 1.8 4x2 Midnigth,https://www.automotoresmotul.com.ar/,Automotores Motul ,"Mendoza, Godoy Cruz",Autos Usados,2014,Nafta,74800 Km,$ 3.450.000,SI,SI,Ayer,Mendoza,10,"Aire acondicionado, Dirección asistida, Cierre centralizado, Vidrios eléctricos, Volante regulable, Volante de cuero, Computadora de abordo, Control de velocidad crucero, Espejos eléctricos, Faros antiniebla, Faros regulables desde el interior, Sensor de lluvia, Llantas de Aleación, Alarma, Frenos ABS, Frenos de disco en las cuatro ruedas, Airbags, Control de tracción, Traba para niños, Anclaje de asientos infantiles (Isofix), Reproduce CD / DVD, Entrada USB / Auxiliar, Bluetooth, Comandos en el volante / satelital","***AUTOMOTORES MOTUL***Tenemos 9 años de presencia en el mercado automotriz, contamos con un stock de más de 150 vehículos distribuidos en 2 puntos de venta.Nuestro objetivo es ofrecerte una transparente y excelente experiencia de compra segura de principio a fin. Contamos con:• Financiación hasta el 50% sólo con DNI.• Asesores profesionales que sabrán interpretar su necesidad.• Gestoría Automotor integral.• Aseguramos tu auto con los mejores precios, coberturas y compañías.***Dejanos tu usado y llévate un seminuevo***Esperamos tu consulta o tu visita por nuestras agencias.",2022-06-11,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
